City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Dzhebariki-Khaya,56,RU,1545522391,51,62.22,135.8,-30.96,2.57
Alice Springs,0,AU,1545522392,15,-23.7,133.88,77.0,14.99
Nuuk,88,GL,1545522394,100,64.17,-51.74,33.8,29.97
Mahanoro,100,MG,1545522395,100,-19.9,48.8,71.24,3.02
Saint-Georges,88,CA,1545522396,77,46.12,-70.67,28.22,11.74
Wana,0,PK,1545522397,88,32.31,69.59,18.41,3.8
Svencioneliai,92,LT,1545522398,94,55.17,26.0,29.12,10.85
Salas,20,ES,1545522399,87,43.41,-6.26,51.8,3.36
Itacare,32,BR,1545522400,94,-14.28,-39.0,78.17,6.71
Tourlaville,92,FR,1545522401,93,49.64,-1.57,50.0,6.93
Biltine,20,TD,1545522403,29,14.53,20.93,58.15,13.87
Kiama,90,AU,1545522404,72,-34.67,150.86,64.4,6.93
Falam,88,MM,1545522405,99,22.91,93.68,53.02,0.89
Mogok,0,MM,1545522406,92,22.92,96.51,50.45,1.68
Lavrentiya,76,RU,1545522407,100,65.58,-170.99,7.52,15.1
Hasaki,75,JP,1545522408,87,35.73,140.83,48.2,2.24
Cullman,1,US,1545522409,73,34.17,-86.84,46.94,3.36
Waipawa,48,NZ,1545522410,80,-39.94,176.59,64.9,6.38
Aksu,0,KZ,1545522412,77,52.04,76.93,1.4,6.71
Kahului,20,US,1545522413,53,20.89,-156.47,86.0,18.34
Taltal,0,CL,1545522414,78,-25.41,-70.49,62.96,2.35
Bindi,0,NG,1545522415,39,12.86,8.84,57.29,10.4
Mumford,0,GH,1545522416,90,5.26,-0.76,77.54,6.6
Dickinson,90,US,1545522417,63,46.88,-102.79,28.94,26.4
Grand Gaube,75,MU,1545522419,83,-20.01,57.66,78.8,16.11
Los Llanos de Aridane,56,ES,1545522420,72,28.66,-17.92,64.4,4.7
Lakatoro,80,VU,1545522421,82,-16.11,167.42,85.15,6.38
Valdagno,0,IT,1545522422,77,45.64,11.3,33.8,3.36
Bathsheba,88,BB,1545522423,100,13.22,-59.52,79.61,17.45
Diu,0,IN,1545522424,82,20.71,70.98,50.95,2.68
Dongsheng,0,CN,1545522425,78,29.72,112.52,37.67,11.41
Toyooka,75,JP,1545522426,93,35.55,134.82,48.2,8.05
Liberal,75,US,1545522428,32,37.04,-100.92,50.0,13.87
Tuktoyaktuk,90,CA,1545522429,84,69.44,-133.03,1.4,2.24
Yumen,0,CN,1545522430,59,40.29,97.04,-15.97,2.24
Leshukonskoye,32,RU,1545522431,74,64.9,45.76,0.59,5.48
Kem,0,UG,1545522432,68,2.68,33.77,68.63,4.7
Ponta do Sol,76,BR,1545522433,78,-20.63,-46.0,73.72,4.7
Cabo Rojo,90,PR,1545522434,73,18.09,-67.15,75.2,9.17
Panaba,0,MX,1545522435,48,21.28,-88.27,70.16,5.14
Codrington,75,AU,1545522437,57,-28.95,153.24,75.2,14.99
Inhambane,0,MZ,1545522438,100,-23.87,35.38,73.13,7.94
Bridlington,12,GB,1545522439,93,54.08,-0.19,44.6,4.7
Luau,92,CD,1545522440,98,-10.7,22.23,66.47,2.57
Jalingo,0,NG,1545522441,47,10.21,12.82,62.15,9.4
Arman,64,RU,1545522442,58,59.7,150.17,-12.82,2.91
Fortuna,0,ES,1545522443,87,38.18,-1.13,46.4,4.7
Beloha,0,MG,1545522444,81,-25.17,45.06,64.85,6.38
Batemans Bay,12,AU,1545522446,85,-35.71,150.18,64.76,4.7
North Bend,90,US,1545522447,70,43.41,-124.22,48.02,12.75
Dolores Hidalgo,40,MX,1545522448,11,21.16,-100.93,73.4,1.68
Snyder,1,US,1545522449,26,32.72,-100.92,64.76,3.36
Bhongir,40,IN,1545522450,93,17.52,78.89,64.4,4.7
Sioux Lookout,90,CA,1545522451,78,50.1,-91.92,15.8,4.7
Chifeng,0,CN,1545522452,23,42.27,118.96,5.32,7.38
Murray Bridge,0,AU,1545522453,81,-35.12,139.28,67.01,5.82
Tabou,0,CI,1545522454,100,4.42,-7.36,81.5,6.71
Puerto Penasco,0,MX,1545522456,89,31.32,-113.53,67.28,2.57
Manavalakurichi,75,IN,1545522457,88,8.13,77.3,80.6,3.36
Nouadhibou,80,MR,1545522458,48,20.93,-17.03,66.2,10.29
Haines Junction,44,CA,1545522459,73,60.75,-137.51,-2.16,2.24
Churapcha,44,RU,1545522460,40,62.0,132.43,-26.28,2.68
Tura,0,IN,1545522461,83,25.52,90.21,50.72,2.91
Jardim,8,BR,1545522462,77,-21.48,-56.15,77.68,3.36
Richards Bay,88,ZA,1545522463,88,-28.77,32.06,72.05,8.61
Doctor Arroyo,0,MX,1545522464,45,23.67,-100.18,56.17,2.46
Kavaratti,0,IN,1545522465,100,10.57,72.64,82.76,6.38
Evensk,0,RU,1545522466,100,61.92,159.24,-3.51,8.28
Sosnovo-Ozerskoye,8,RU,1545522468,63,52.53,111.54,-10.3,10.96
Storforshei,12,NO,1545522469,78,66.4,14.52,-13.99,1.68
Uyovu,92,TZ,1545522470,96,-3.28,31.53,63.23,3.69
Berlevag,32,NO,1545522471,100,70.86,29.09,9.5,8.05
Mahajanga,40,MG,1545522472,83,-15.72,46.32,82.4,6.93
Freeport,75,BS,1545522473,72,26.54,-78.7,62.6,9.17
Pochutla,5,MX,1545522474,61,15.74,-96.47,82.4,1.9
Kaka,36,TM,1545522476,96,37.35,59.62,27.77,2.46
Del Rio,1,US,1545522477,25,29.36,-100.9,78.44,2.91
Ganzhou,56,CN,1545522478,97,25.86,114.93,53.2,6.38
Seymchan,56,RU,1545522479,41,62.93,152.39,-27.04,2.35
Frankfort,1,US,1545522480,69,38.2,-84.87,41.0,6.93
Moyale,0,ET,1545522481,52,3.52,39.05,62.2,5.48
Tahe,68,CN,1545522482,52,52.34,124.71,-0.4,11.07
Fuling,80,CN,1545522483,100,29.71,107.39,44.6,2.24
Xining,0,CN,1545522485,49,36.62,101.77,10.58,5.26
Hermosillo,5,MX,1545522486,17,29.09,-110.96,84.2,4.7
Masuda,75,JP,1545522487,93,34.68,131.85,51.8,4.7
Te Karaka,100,NZ,1545522488,65,-38.47,177.87,66.29,4.14
Basco,90,US,1545522489,81,40.33,-91.2,37.04,6.93
Kloulklubed,90,PW,1545522490,83,7.04,134.26,82.4,4.7
Cidreira,24,BR,1545522491,87,-30.17,-50.22,72.37,7.61
Cururupu,64,BR,1545522492,88,-1.82,-44.87,78.17,6.04
Mantua,64,IT,1545522494,85,45.16,10.79,35.6,3.36
Brigham City,1,US,1545522495,35,41.51,-112.02,34.34,2.57
Cabra,0,ES,1545522496,93,37.47,-4.43,46.4,4.7
Bud,75,NO,1545522497,93,62.91,6.91,35.6,17.22
Masvingo,0,ZW,1545522498,97,-20.08,30.83,63.41,5.59
Haapiti,20,PF,1545522499,59,-17.57,-149.87,89.6,5.82
Geraldton,75,CA,1545522500,84,49.72,-86.95,-2.21,2.91
Umm Lajj,44,SA,1545522501,100,25.02,37.27,64.45,9.73
Brae,76,GB,1545522502,93,60.4,-1.35,42.8,2.24
Pervomayskoye,64,RU,1545522504,85,57.07,86.23,2.98,6.71
Trapani,40,IT,1545522505,72,38.02,12.54,59.0,11.41
Kawalu,80,ID,1545522506,99,-7.38,108.21,69.13,2.91
Manado,40,ID,1545522507,88,1.49,124.85,78.8,1.45
Yerbogachen,24,RU,1545522508,33,61.28,108.01,-22.86,6.38
Kailua,75,US,1545522509,71,21.39,-157.74,82.94,9.17
Ahipara,92,NZ,1545522511,98,-35.17,173.16,68.23,4.36
Hammerfest,56,NO,1545522512,100,70.66,23.68,32.0,17.22
Saldanha,12,PT,1545522513,87,41.42,-6.55,34.61,2.57
Llangefni,68,GB,1545522514,87,53.26,-4.31,50.0,5.82
Klyuchi,48,RU,1545522515,62,52.25,79.17,-7.69,3.58
Shizunai,48,JP,1545522516,100,42.33,142.37,19.9,3.02
Namatanai,100,PG,1545522517,100,-3.66,152.44,78.13,3.02
Novaya Zaimka,68,RU,1545522519,87,56.49,66.92,2.53,7.05
Zapolyarnyy,0,RU,1545522520,77,69.43,30.82,1.4,24.16
Misantla,0,MX,1545522521,65,19.93,-96.85,70.25,7.38
Kota Kinabalu,75,MY,1545522522,88,5.98,116.07,78.8,3.36
Poso,44,ID,1545522523,100,-1.4,120.75,82.63,3.8
Mezen,44,RU,1545522524,74,65.85,44.24,3.56,6.38
Sarkand,0,KZ,1545522525,22,45.41,79.91,-15.93,2.35
Rio Gallegos,20,AR,1545522527,33,-51.62,-69.22,62.6,34.45
Elk,92,PL,1545522528,97,53.83,22.36,30.56,15.77
Lugovoy,0,RU,1545522529,77,59.72,65.88,-17.14,7.16
Ponta Delgada,75,PT,1545522530,100,37.73,-25.67,60.8,11.41
Pilar,0,AR,1545522531,64,-34.46,-58.91,75.2,5.82
Road Town,40,VG,1545522532,78,18.42,-64.62,78.98,9.17
Estacion Coahuila,75,MX,1545522533,28,32.19,-115.0,73.04,3.36
Martinsville,1,US,1545522534,79,36.69,-79.87,44.06,5.37
Olga,1,US,1545522536,45,34.11,-118.17,71.6,5.82
Mehtar Lam,1,AF,1545522537,70,34.67,70.21,36.5,1.12
Wolmirstedt,80,DE,1545522538,96,52.25,11.63,43.07,15.21
Kalat,0,PK,1545522539,87,29.03,66.58,17.92,3.47
Tommot,56,RU,1545522540,71,58.97,126.27,-11.83,3.36
Hambantota,92,LK,1545522541,100,6.12,81.12,77.32,6.71
Quatre Cocos,75,MU,1545522543,83,-20.21,57.76,78.8,16.11
Sulphur,1,US,1545522544,65,30.24,-93.38,68.0,8.05
Tubuala,40,PA,1545522545,62,9.52,-79.03,84.2,13.87
Halifax,90,CA,1545522546,100,44.65,-63.58,48.2,10.29
Atakpame,0,TG,1545522547,61,7.53,1.13,65.93,2.8
Motygino,48,RU,1545522548,54,58.18,94.69,-5.17,7.83
Porto Tolle,36,IT,1545522549,93,44.95,12.32,35.6,4.7
Redcliffe,64,GB,1545522550,100,51.45,-2.59,46.4,5.82
Kenora,90,CA,1545522552,92,49.76,-94.48,21.2,5.82
Uarini,90,BR,1545522553,100,-2.98,-65.16,75.2,3.36
Vao,92,EE,1545522554,92,59.1,26.19,22.1,4.92
Peleduy,44,RU,1545522555,68,59.63,112.75,1.31,3.58
Torquay,75,GB,1545522556,93,50.47,-3.52,50.0,8.05
Clarence Town,40,AU,1545522557,56,-32.59,151.78,73.4,16.11
Vardo,90,US,1545522558,64,39.62,-77.74,42.8,11.41
Krasnyy Chikoy,0,RU,1545522559,64,50.36,108.75,-10.53,4.59
Cap-aux-Meules,90,CA,1545522561,93,47.38,-61.86,42.8,24.16
High Level,48,CA,1545522562,83,58.52,-117.13,6.8,2.57
Turinskaya Sloboda,48,RU,1545522563,82,57.62,64.39,3.92,7.38
Tilichiki,20,RU,1545522564,73,60.47,166.1,-24.52,3.47
Amahai,56,ID,1545522565,100,-3.31,129.0,78.58,7.94
Suffolk,40,US,1545522566,73,36.73,-76.58,51.98,3.36
Severo-Yeniseyskiy,0,RU,1545522568,53,60.37,93.04,-31.72,3.58
Ayr,75,GB,1545522569,93,55.46,-4.63,46.4,9.17
Paamiut,92,GL,1545522570,91,61.99,-49.67,33.85,37.47
Kinsale,75,IE,1545522571,100,51.71,-8.52,50.0,12.75
Sambava,88,MG,1545522572,100,-14.27,50.17,77.27,5.48
Semey,32,KZ,1545522573,63,50.41,80.25,-14.04,4.7
Woodward,1,US,1545522574,34,36.43,-99.39,53.06,10.29
Kumba,20,CM,1545522575,94,4.64,9.44,67.37,3.24
Tsaratanana,80,MG,1545522577,97,-16.8,47.65,69.35,2.91
Kruisfontein,64,ZA,1545522578,92,-34.0,24.73,64.76,7.94
Buin,0,CL,1545522579,50,-33.73,-70.74,75.2,5.82
Camabatela,92,AO,1545522580,95,-8.19,15.37,66.52,3.58
Kavieng,88,PG,1545522581,100,-2.57,150.8,82.27,3.13
Soyo,80,AO,1545522582,96,-6.13,12.37,75.25,3.24
Souillac,90,FR,1545522583,100,45.6,-0.6,55.4,4.7
Mareeba,32,AU,1545522585,62,-16.99,145.42,87.8,5.82
Butembo,32,CD,1545522586,86,0.12,29.29,60.89,0.89
Boende,64,CD,1545522587,74,-0.28,20.88,78.17,2.68
Bertoua,0,CM,1545522588,73,4.58,13.68,63.37,2.57
Sokolow Podlaski,92,PL,1545522589,94,52.41,22.25,33.89,19.46
Aykhal,20,RU,1545522590,0,65.95,111.51,-50.44,2.68
Pyshma,68,RU,1545522591,81,56.95,63.25,1.63,8.16
Hare Bay,90,CA,1545522592,86,48.86,-53.99,37.4,19.46
Hobyo,88,SO,1545522593,84,5.35,48.53,77.63,17.78
Mehriz,0,IR,1545522595,76,31.58,54.44,33.8,2.24
Clyde,0,NZ,1545522596,64,-45.19,169.32,56.57,2.8
Sapele,20,NG,1545522597,76,5.89,5.68,79.07,6.6
Jumla,0,NP,1545522598,52,29.28,82.18,-0.67,1.12
Leh,32,IN,1545522599,0,34.16,77.58,-41.71,1.57
Matagami,0,NG,1545522600,49,9.67,8.4,60.98,7.72
Parrita,20,CR,1545522602,64,9.52,-84.33,73.4,12.75
Kandrian,88,PG,1545522603,94,-6.21,149.55,79.16,3.13
Guerrero Negro,0,MX,1545522604,58,27.97,-114.04,70.7,6.38
Redding,20,US,1545522605,60,40.59,-122.39,53.06,8.05
Provita de Jos,24,RO,1545522606,100,45.12,25.65,36.32,9.51
Belmonte,24,PT,1545522607,85,40.36,-7.35,34.52,1.57
Villa Carlos Paz,0,AR,1545522608,44,-31.42,-64.5,78.8,6.93
Sobolevo,92,RU,1545522609,94,54.43,31.9,28.9,15.21
Touros,20,BR,1545522611,78,-5.2,-35.46,80.6,9.17
Bayir,0,TR,1545522612,93,37.27,28.22,41.0,4.7
Shahr-e Babak,0,IR,1545522613,77,30.12,55.12,22.42,5.14
Solnechnyy,68,RU,1545522614,71,50.72,136.64,-10.66,2.46
Akonolinga,0,CM,1545522615,80,3.77,12.24,68.99,1.45
Enshi,92,CN,1545522616,100,30.29,109.48,37.76,2.68
Weihe,80,CN,1545522617,82,32.99,105.33,19.67,1.68
Kourou,0,GF,1545522619,94,5.16,-52.64,75.2,7.94
Chibuto,24,MZ,1545522620,70,-24.69,33.53,75.29,11.18
Nauta,24,PE,1545522621,92,-4.51,-73.58,75.07,3.91
Vincennes,1,US,1545522622,81,38.68,-87.53,39.92,8.05
Ereymentau,80,KZ,1545522623,80,51.62,73.1,-1.71,8.05
Ukiah,40,US,1545522624,65,39.15,-123.21,50.0,3.36
Sinnamary,92,GF,1545522625,100,5.38,-52.96,78.22,7.94
Plouzane,90,FR,1545522626,93,48.38,-4.62,53.6,12.75
Chaupal,0,IN,1545522627,29,30.95,77.59,30.97,3.13
Kununurra,0,AU,1545522629,66,-15.77,128.74,89.6,1.12
Catuday,80,PH,1545522630,96,16.29,119.81,81.37,4.47
Mgachi,24,RU,1545522631,100,51.05,142.27,14.5,12.3
Changqing,75,CN,1545522632,100,31.81,117.24,39.2,4.47
Ulladulla,90,AU,1545522633,72,-35.36,150.48,64.4,6.93
Havre-Saint-Pierre,90,CA,1545522634,100,50.23,-63.6,41.0,8.05
Mayo,20,CA,1545522636,67,63.59,-135.9,-22.01,2.8
Luoyang,12,CN,1545522637,67,34.66,112.42,23.5,4.59
Santa Cruz do Sul,32,BR,1545522638,87,-29.71,-52.43,72.77,2.8
Half Moon Bay,1,US,1545522639,66,37.46,-122.43,59.0,12.75
Ola,44,RU,1545522640,100,59.58,151.3,7.52,13.98
Ancud,75,CL,1545522641,76,-41.87,-73.83,57.2,4.7
Mount Isa,0,AU,1545522643,10,-20.73,139.49,89.6,18.34
Biak,68,ID,1545522644,100,-0.91,122.88,77.18,2.01
Lagos,0,NG,1545522645,92,6.46,3.39,77.68,7.61
Pamekasan,76,ID,1545522646,100,-7.16,113.47,79.75,2.91
Trairi,88,BR,1545522647,100,-3.28,-39.27,81.68,14.09
San Carlos de Bariloche,0,AR,1545522648,42,-41.13,-71.31,73.4,27.51
Kansanshi,100,ZM,1545522649,100,-12.1,26.43,63.5,5.03
Saint Anthony,1,US,1545522651,62,43.97,-111.68,26.06,8.05
Misratah,92,LY,1545522652,100,32.38,15.09,57.56,9.95
Brandfort,0,ZA,1545522653,22,-28.7,26.46,68.0,3.36
Aranos,44,NA,1545522654,63,-24.14,19.11,70.34,10.51
Wamba,0,CD,1545522655,83,2.14,27.99,66.47,2.68
Williams Lake,90,CA,1545522656,85,52.13,-122.14,24.8,16.11
Wynyard,68,CA,1545522657,84,51.77,-104.18,15.98,14.2
Edd,20,ER,1545522659,90,13.93,41.69,61.61,2.35
Carutapera,68,BR,1545522660,93,-1.2,-46.02,77.27,5.93
Port Macquarie,90,AU,1545522661,56,-31.43,152.91,69.8,12.75
Vostok,76,RU,1545522662,80,46.45,135.83,14.18,6.26
Ostrovnoy,8,RU,1545522663,86,68.05,39.51,6.67,13.65
Dzaoudzi,75,YT,1545522664,83,-12.79,45.27,82.4,14.99
Flin Flon,90,CA,1545522666,84,54.77,-101.88,8.6,3.36
Southbridge,90,US,1545522667,61,42.08,-72.03,37.94,26.4
Kirakira,44,SB,1545522668,100,-10.46,161.92,84.52,8.5
Oga,0,NG,1545522669,65,8.18,5.65,64.22,2.68
Nhulunbuy,40,AU,1545522670,70,-12.18,136.78,87.8,9.17
Samoylovka,92,RU,1545522671,86,51.19,43.71,16.57,6.49
Takoradi,0,GH,1545522672,100,4.89,-1.75,80.51,4.7
Te Anau,0,NZ,1545522673,66,-45.41,167.72,57.65,3.36
Pauini,36,BR,1545522675,83,-7.71,-67.0,77.77,5.14
Talaya,20,RU,1545522676,77,55.79,84.89,-0.41,4.47
Byron Bay,24,AU,1545522677,57,-28.65,153.62,75.2,23.04
Vila Velha,0,BR,1545522678,74,-3.71,-38.6,82.4,6.93
Kupang,75,ID,1545522679,88,-10.16,123.6,78.8,3.36
Ingham,92,AU,1545522680,94,-18.65,146.16,82.58,8.28
Rawson,64,AR,1545522681,20,-43.3,-65.11,83.57,12.64
Baringo,68,KE,1545522683,99,0.47,35.97,61.25,1.57
Lokosovo,0,RU,1545522684,40,61.13,74.84,-25.87,7.16
Pekan,75,MY,1545522685,94,3.49,103.39,73.4,3.13
Zhigansk,0,RU,1545522686,63,66.77,123.37,-34.11,7.72
Port Hedland,0,AU,1545522687,36,-20.31,118.58,91.4,8.05
Haverfordwest,76,GB,1545522688,100,51.8,-4.97,48.2,13.87
Varhaug,75,NO,1545522689,80,58.61,5.65,35.6,3.36
Karratha,0,AU,1545522690,34,-20.74,116.85,86.5,6.04
Kurayoshi,75,JP,1545522692,93,35.43,133.83,50.0,8.05
Ewa Beach,1,US,1545522693,62,21.32,-158.01,82.94,9.17
Wajima,75,JP,1545522694,93,37.4,136.9,44.6,3.36
Kalnibolotskaya,92,RU,1545522695,95,46.01,40.45,40.55,11.07
Sao Filipe,80,CV,1545522696,93,14.9,-24.5,75.38,9.73
Elko,1,US,1545522697,52,40.83,-115.76,37.94,2.68
Nador,0,MA,1545522698,81,35.17,-2.93,48.2,1.12
Gidam,0,IN,1545522699,89,18.98,81.4,49.1,2.8
Pitimbu,40,BR,1545522701,83,-7.47,-34.81,78.8,5.82
Nyandoma,88,RU,1545522702,83,61.67,40.21,3.2,11.07
Gravdal,20,NO,1545522703,100,59.79,5.78,33.8,4.7
